file_name,label
id\4.jpg,0
id\5d0f58064123a47da7bc4d10ae12.jpg,0
id\5f78b0f6443d2ae4cae3f129c3a2e710.jpeg,0
id\dowod_osobisty.jpg,0
id\e-dowod-2019.jpg,0
id\e-dowod.jpg,0
"id\e-dowod_edowod_00001,nICD62SaolTLo7bXW5mZ.jpg",0
id\images (1).jfif,0
id\images (1).jpg,0
id\images (2).jfif,0
id\images (2).jpg,0
id\images (3).jfif,0
id\images (3).jpg,0
id\images (4).jfif,0
id\images.jpg,0
id\Pilsudski_ndo.webp,0
id\prawko1.png,0
id\prawko2.png,0
id\prawko3.png,0
id\prawko4.png,0
id\prawko5.png,0
idObcy\1.jfif,1
idObcy\11.jfif,1
idObcy\12.jfif,1
idObcy\13.jfif,1
idObcy\14.jfif,1
idObcy\213.jpg,1
idObcy\3.jfif,1
idObcy\3512067-Znaleziono-niemiecki-dowod-osobisty__kr.webp,1
idObcy\5.jfif,1
idObcy\6.jfif,1
idObcy\7.jfif,1
idObcy\8.jfif,1
idObcy\9.jfif,1
idObcy\asdads.jfif,1
idObcy\cz.webp,1
idObcy\dowodde1.png,1
idObcy\es.jpg,1
idObcy\es2.jpg,1
idObcy\fr.jpg,1
idObcy\fr2.webp,1
idObcy\lt.webp,1
idObcy\sk.webp,1
inne\11.jfif,2
inne\11.png,2
inne\12.jfif,2
inne\13.jfif,2
inne\14.jfif,2
inne\15.jfif,2
inne\166.gif,2
inne\3.jfif,2
inne\3592238_orig.png,2
inne\4.jfif,2
inne\43.jfif,2
inne\5.jfif,2
inne\6.jfif,2
inne\7.jfif,2
inne\8.jfif,2
inne\9.jfif,2
inne\images.jfif,2
inne\raport_policji.jpg,2
inne\RPO-rutynowe-kontrole.jpg,2
inne\wNC4wMDAuMDA2Mi4xMDEuanBnIn0.webp,2
paszport\1-12690.jpg,3
paszport\1-12695.jpg,3
paszport\1-12700.jpg,3
paszport\68885.png,3
paszport\ba90e61ef5415cedeacbf6dd8b93.jpeg,3
paszport\d75815cd40760896ee7e4576de27fbdb.jpg,3
paszport\FyCKmS8acAENrSR.jpg,3
paszport\FyCKmUzaYAA7AWZ.jfif,3
paszport\images.jfif,3
paszport\paszport-przyklad3.jpg,3
paszport\paszport_cztery_poryl_00003.jpg,3
paszport\pobrany plik.jfif,3
paszport\Polish_passport_info_page.jpg,3
paszport\shot.jpg,3
paszportObcy\1.jfif,4
paszportObcy\171204_thumb.jfif,4
paszportObcy\179160.jpg,4
paszportObcy\196-222351_g.png,4
paszportObcy\196-222353_g.png,4
paszportObcy\196-222360_g.png,4
paszportObcy\196-222362_g.png,4
paszportObcy\221505.jpg,4
paszportObcy\222574.jpg,4
paszportObcy\229947.jpg,4
paszportObcy\350px-Czech_passport_2006_MRZ_data.jpg,4
paszportObcy\359285.jpg,4
paszportObcy\98054.jpg,4
paszportObcy\images.jpg,4
paszportObcy\lithuanian_citizen_going_to_lithuania_throught_abu_dhabi_with_2_months_passport_validity.png,4
paszportObcy\lotewski-paszport.webp,4
paszportObcy\pasas.webp,4
paszportObcy\putovnica3.webp,4
paszportObcy\qqqww.jfif,4
prawoJazdy\12.jfif,5
prawoJazdy\123.jpg,5
prawoJazdy\13.jpg,5
prawoJazdy\15.jfif,5
prawoJazdy\16.jfif,5
prawoJazdy\17.jpg,5
prawoJazdy\2.jpg,5
prawoJazdy\3-1024x768-1.jpeg,5
prawoJazdy\3.jpg,5
prawoJazdy\625111_1552918705.jpg,5
prawoJazdy\6580_16ac6d97cc261b3132e6f8d8fb6ba763.jpg,5
prawoJazdy\badania-kierowców-do-prawa-jazdy.jpg,5
prawoJazdy\bbbb-1024x768-1.jpeg,5
prawoJazdy\Czapski_pj.webp,5
prawoJazdy\images (1).jpg,5
prawoJazdy\images (2).jpg,5
prawoJazdy\images (3).jfif,5
prawoJazdy\images.jfif,5
prawoJazdy\images.jpg,5
prawoJazdy\p7-1024x768.jpeg,5
prawoJazdy\pobrany plik.jpg,5
prawoJazdy\poland_dl.jpg,5
prawoJazdy\Prawo-Jazdy-zdrowie_001.jpg,5
prawoJazdy\PRAWO_JAZDY-1.jpg,5
prawoJazdyObce\10.jpg,6
prawoJazdyObce\196-225470_g.png,6
prawoJazdyObce\196-225472_g.png,6
prawoJazdyObce\196-225474_g.png,6
prawoJazdyObce\196-225501_g.png,6
prawoJazdyObce\343431.jpg,6
prawoJazdyObce\a.jfif,6
prawoJazdyObce\aaaaaa-1024x683.jpg,6
prawoJazdyObce\b.jfif,6
prawoJazdyObce\c.jfif,6
prawoJazdyObce\d.jpg,6
prawoJazdyObce\e.jpg,6
prawoJazdyObce\images.png,6
prawoJazdyObce\irl.webp,6
prawoJazdyObce\prawko1.png,6
prawoJazdyObce\prawko10.png,6
prawoJazdyObce\prawko2-red.png,6
prawoJazdyObce\prawko2.png,6
prawoJazdyObce\prawko3.png,6
prawoJazdyObce\prawko4.png,6
prawoJazdyObce\prawko5.png,6
prawoJazdyObce\prawko6.png,6
prawoJazdyObce\prawko7.png,6
prawoJazdyObce\prawko8.png,6
prawoJazdyObce\prawko9.png,6
