policy_id;id-policy;name_asset;;incident_id;asset_id;system_asset_category_id;;victim;policy;perpre;;;id_system_asset_extension
3762c92b-5def-457e-b27b-c7a7b20f67db;d4ba52a6-b472-4db6-938a-1b49862b4e74;polisa;;3762c92b-5def-457e-b27b-c7a7b20f67db;d4ba52a6-b472-4db6-938a-1b49862b4e74;7881a3bb-eedd-4f77-a298-62ab93be05cc;;6a8b647b-dd72-40dd-95cd-72b283cbfed9;57911068-9b38-490d-b052-0ae9a567544c;89eca308-fd90-4d75-a5c8-d02fc7ab2527;;;d0780c78-49ec-4b61-851e-0434c1713cd2
c7c8c2c9-7153-4534-b780-fb0615c5d319;3071fcca-aff5-44c9-89c0-d519a49a1bba;polisa;;c7c8c2c9-7153-4534-b780-fb0615c5d319;3071fcca-aff5-44c9-89c0-d519a49a1bba;57911068-9b38-490d-b052-0ae9a567544c;;47289f0e-6fcc-4c63-8b29-d9680d9497c1;226cb230-d1d7-4b7e-99b7-dbd20f45d190;51805333-d313-4da0-b05b-441a6953284a;;;32dec54a-4e1d-41c7-8d1f-73ee4536a18b
645abd80-d95f-486c-b188-61952234007b;5dcb7fad-237d-40fe-a0a1-83cc57580c07;polisa;;645abd80-d95f-486c-b188-61952234007b;5dcb7fad-237d-40fe-a0a1-83cc57580c07;226cb230-d1d7-4b7e-99b7-dbd20f45d190;;3f430044-af25-4703-83f4-49259f4795a7;37851187-52a3-4004-8374-f27c53889aa4;d9ad9b1c-b5d8-4ee3-a28b-e980861f829a;;;bf9ed933-2392-44ea-b84a-ca25eeafe3bf
f6798786-de2c-4e92-9a3d-2c00fa1adaea;a2bfa58a-d05d-4bce-acc0-cf186deafbbb;polisa;;f6798786-de2c-4e92-9a3d-2c00fa1adaea;a2bfa58a-d05d-4bce-acc0-cf186deafbbb;37851187-52a3-4004-8374-f27c53889aa4;;349bcfe0-4111-4a4b-88fe-f320e2ca44f3;1d9723ed-086e-4be8-8e42-0e032073be09;b2f2108f-57e2-4c62-8346-3117276c0d6f;;;cd981af7-0ad9-4da0-acee-0bbdeb839644
ca1697c2-d9f1-4a15-864b-b4559fb6d465;60befc03-9eca-408b-bf6c-27deb7cf9d25;polisa;;ca1697c2-d9f1-4a15-864b-b4559fb6d465;60befc03-9eca-408b-bf6c-27deb7cf9d25;1d9723ed-086e-4be8-8e42-0e032073be09;;4dba6371-7bf7-41ff-abcb-6f60e1e247f7;6780ad4a-bc9e-49e0-9326-cbc1976fd82c;89f86387-47e0-4a3f-b9a7-2da04387fd0b;;;d7609cb4-3851-4b5c-9ca6-0e768fb2620a
be86d9b4-e073-4a42-af14-c88bb86ba0eb;657ab303-a890-4d6e-973a-4a26c11516bb;polisa;;be86d9b4-e073-4a42-af14-c88bb86ba0eb;657ab303-a890-4d6e-973a-4a26c11516bb;6780ad4a-bc9e-49e0-9326-cbc1976fd82c;;6ce2abbd-4c2e-41a0-93be-3d0dfc792fd2;edf8b645-da1a-4ec3-85ed-808bf9e459bc;8d8d7660-f69c-4e49-a84e-b18d5342ff0a;;;d30a90ad-e753-4224-8efa-1b6db2ef5d9e
9238e912-8909-46d3-9908-f4724ced014a;e23cfdd3-92d7-4dd9-bcc1-72188497e19f;polisa;;9238e912-8909-46d3-9908-f4724ced014a;e23cfdd3-92d7-4dd9-bcc1-72188497e19f;edf8b645-da1a-4ec3-85ed-808bf9e459bc;;e022089b-133d-4ba4-a0b8-d3d31fa118ea;397e8c59-dbf8-42ca-b067-e8651d090a9c;64d06367-af9a-4023-8383-ac116df62f22;;;af4bca04-e03c-4a37-8a70-eedd98349392
51bdb03f-9abe-4878-bfc1-dd5578f72c7d;a34ce550-7091-4737-aa68-9bb50cc0f1ad;polisa;;51bdb03f-9abe-4878-bfc1-dd5578f72c7d;a34ce550-7091-4737-aa68-9bb50cc0f1ad;397e8c59-dbf8-42ca-b067-e8651d090a9c;;b4c035cb-1c57-49db-becb-d1dbd443923e;41ef404b-37f2-4254-80e4-ae69f4716311;740d4d00-4e6c-4b81-b1b4-a01346009d69;;;1b60b184-fcf1-4f23-8fe8-b7a06deaf687
92c0d428-e93a-4a04-8ab4-ebd51919577d;51a90998-0cd7-45ad-bbcf-77eb57e83169;polisa;;92c0d428-e93a-4a04-8ab4-ebd51919577d;51a90998-0cd7-45ad-bbcf-77eb57e83169;41ef404b-37f2-4254-80e4-ae69f4716311;;5af0268c-5fb3-468e-8283-37945abfd238;85747e56-60db-49a4-a758-d54fe28b7b3c;76d4539f-5fe7-43df-9145-4a0047949530;;;14ca893a-808d-4b86-86bb-69c83fb2b8c4
f4eb6666-76aa-4598-8276-dd8ba781fb91;c796fa14-7887-455f-97d5-10584d8b6105;polisa;;f4eb6666-76aa-4598-8276-dd8ba781fb91;c796fa14-7887-455f-97d5-10584d8b6105;85747e56-60db-49a4-a758-d54fe28b7b3c;;1d36eceb-a288-4de3-b2d8-1274a71f6fbf;07529003-da8b-4095-9a74-97fb3c03e592;82abb6d3-92b0-4502-9651-86cfaa81e96f;;;ec0c4831-4b28-4501-a247-6bc9110ad0db
5428e2dd-37b8-4a13-9d75-2b4e2269ad7f;acef4044-5799-4eda-8a46-b9bf6cf4c0b9;polisa;;5428e2dd-37b8-4a13-9d75-2b4e2269ad7f;acef4044-5799-4eda-8a46-b9bf6cf4c0b9;07529003-da8b-4095-9a74-97fb3c03e592;;5b6eccdd-a980-4c35-886a-b1235519d9aa;080d6781-8dfe-447e-a7ca-dc44887df2fb;42d8ca16-1675-485e-8c9d-fccc5d34be81;;;ab4a9faa-8fcc-4de2-ac57-9c075778c098
